codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
78100;7791843023082;ACEITE OLIVA BRESSANO;ALMACEN;ACEITES Y VINAGRES
1900;7790336060030;ACEITE OLIVA MARILEN LATA X500;ALMACEN;ACEITES Y VINAGRES
22907;7790580109608;BUTTER TOFFES AVELLANAS X959;ALMACEN;GOLOSINAS Y CHOCOLATES
15207;7797599231306;CEREAL NUTRIRINGS ZIPPER X 397;ALMACEN;DESAYUNO
24966;7613031599578;CHOC.NESTLE GOLD NOIR X100G;ALMACEN;GOLOSINAS Y CHOCOLATES
5094;7790171000208;FLAN KEKSY CHOCOLATE X170G;ALMACEN;REPOSTERIA Y POSTRES
1730;7790040057098;GALL.SNACKS REX QUESOS X 50G;ALMACEN;DESAYUNO
24653;7790171000116;GELAT.KEKSY FRUTILLA X170;ALMACEN;REPOSTERIA Y POSTRES
25387;7795921000361;HELADO GELFRI LIGHT VAIN X40;ALMACEN;REPOSTERIA Y POSTRES
21111;7792260639962;HIGOS EN ALMIBAR AL CARAM 650G;ALMACEN;REPOSTERIA Y POSTRES
26032;7798087170091;MERM.STEVIA DULCE ANANA X454G;ALMACEN;DESAYUNO
26030;7798087170107;MERM.STEVIA DULCE MAMON X454G;ALMACEN;DESAYUNO
26031;7798087170114;MERM.STEVIA DULCE ZAPALL X454G;ALMACEN;DESAYUNO
5198;7795642000084;MIEL LA MISIONERITA X 1KG;ALMACEN;DESAYUNO
5200;7795642000060;MIEL LA MISIONERITA X250G;ALMACEN;DESAYUNO
5194;7795642000077;MIEL LA MISIONERITA X500G;ALMACEN;DESAYUNO
25955;7796989004438;PAN DULCE BIMBO C/CHIPS X500G;ALMACEN;REPOSTERIA Y POSTRES
25430;7796989004063;PAN DULCE BIMBO C/FRUTAS X500G;ALMACEN;REPOSTERIA Y POSTRES
50940;7790150367483;SALSA BLANCA ALICANTE X1,5K;ALMACEN;ACEITES Y VINAGRES
23826;7790411000173;TE ROSAMONTE ENSOBRADOS 20X25U;ALMACEN;DESAYUNO
25388;7795921000194;VAINILLA LIQ.GELFRI 24X100;ALMACEN;REPOSTERIA Y POSTRES
76566;7798316700815;ACEITE LEGITIMO GIRASOL X 1,5;ALMACEN;ACEITES Y VINAGRES
76740;7798316700808;ACEITE LEGITIMO GIRASOL X 900M;ALMACEN;ACEITES Y VINAGRES
18146;7798089051015;ACEITE OLIVA INDALO VID X250;ALMACEN;ACEITES Y VINAGRES
60163;7798167250026;ARROZ AVATI-I 5/0 SELECTO X1KG;ALMACEN;ARROZ - LEGUMBRES
30518;7798089020127;ARROZ GARRISON 5/0 L/F X1KG;ALMACEN;ARROZ - LEGUMBRES
