codigo de articulo ;Descripcion;codigo de barras ;Proveedor;Departamento;Categoria;Marca
78100;ACEITE OLIVA BRESSANO;7,79184E+12;ODA VINOTECA;ALMACEN;ACEITES Y VINAGRES;GENERICO
1900;ACEITE OLIVA MARILEN LATA X500;7,79034E+12;Proveedores Varios u Ocasionales;ALMACEN;ACEITES Y VINAGRES;MARILEN
21281;AIR WICK MATIC AP+REP CIT X250;7,79113E+12;FIRE S.A;LIMPIEZA;Aromatizantes;AIR WICK
23321;ALMENDRAS MARVA.S/CASC X100;7,79355E+12;ANGEL CABRERA S.A.;FRUTAS Y VERDURAS;HORTALIZAS;MARVA
23719;ANILINA COLIBRI - AMARILLO ORO;7,79582E+12;670;LIMPIEZA;CUIDADO PARA LA ROPA;COLIBRI
23708;ANILINA COLIBRI - AZUL CIELO;7,79582E+12;670;LIMPIEZA;CUIDADO PARA LA ROPA;COLIBRI
23095;BASURERO C/TAP LA PORTEÑA X40L;7,79813E+12;DISTRIBUIDORA GM S.R.L.;LIMPIEZA;ACCESORIOS DE LIMPIEZA;LA PORTEÑA
23091;BIBERON BABELITO VIDRIO X150;7,79397E+12;MILENIUM DE Harry Miguel Wulf;PERFUMERIA;BEBE;BABELITO
19351;BROCHE ECONOMICO MIRAMAR;7,79804E+12;Proveedores Varios u Ocasionales;LIMPIEZA;ACCESORIOS DE LIMPIEZA;GENERICO
24448;BUDINERA Nº24 LA PORTEÑA;7,79813E+12;DISTRIBUIDORA GM S.R.L.;HOGAR;BAZAR;LA PORTEÑA
22907;BUTTER TOFFES AVELLANAS X959;7,79058E+12;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;BUTTER TOFFEES
15455;CEP.RANDOM L-125 MED PORTABLE;7,79811E+12;RANDOMCORP S.A.;PERFUMERIA;HIGIENE BUCAL;RANDOM
29245;CERA BRILLO ACRILICO ROJO X1L;7,79314E+12;Proveedores Varios u Ocasionales;LIMPIEZA;PISOS;GENERICO
20588;CERA SUIZA AUTOBRILLO NEGRA 1L;7,79061E+12;Proveedores Varios u Ocasionales;LIMPIEZA;PISOS;SUIZA
